Type,Size,Stranding,Material,Diam,GMRac,rac,normamps,GMRunits,runits,Size_Material,,,
1__ACSR,1,,ACSR,0.355,0.00418,1.38,200,ft,mi,1_ACSR,,,
1_7 STRD_Copper,1,7 STRD,Copper,0.328,0.00992,0.765,270,ft,mi,1_Copper,,,
1_CLASS A_AA,1,CLASS A,AA,0.328,0.00991,1.224,177,ft,mi,1_AA,,,
2_6/1_ACSR,2,6/1,ACSR,0.316,0.00418,1.69,180,ft,mi,2_ACSR,,,
2_7 STRD_Copper,2,7 STRD,Copper,0.292,0.00883,0.964,230,ft,mi,2_Copper,,,
2_7/1_ACSR,2,7/1,ACSR,0.325,0.00504,1.65,180,ft,mi,2_ACSR,,,
2_AWG SLD_Copper,2,AWG SLD,Copper,0.258,0.00836,0.945,220,ft,mi,2_Copper,,,
2_CLASS A_AA,2,CLASS A,AA,0.292,0.00883,1.541,156,ft,mi,2_AA,,,
3_6/1_ACSR,3,6/1,ACSR,0.281,0.0043,2.07,160,ft,mi,3_ACSR,,,
3_AWG SLD_Copper,3,AWG SLD,Copper,0.229,0.00745,1.192,190,ft,mi,3_Copper,,,
4_6/1_ACSR,4,6/1,ACSR,0.25,0.00437,2.57,140,ft,mi,4_ACSR,,,
4_7/1_ACSR,4,7/1,ACSR,0.257,0.00452,2.55,140,ft,mi,4_ACSR,,,
4_AWG SLD_Copper,4,AWG SLD,Copper,0.204,0.00663,1.503,170,ft,mi,4_Copper,,,
4_CLASS A_AA,4,CLASS A,AA,0.232,0.007,2.453,90,ft,mi,4_AA,,,
5_6/1_ACSR,5,6/1,ACSR,0.223,0.00416,3.18,120,ft,mi,5_ACSR,,,
5_AWG SLD_Copper,5,AWG SLD,Copper,0.1819,0.0059,1.895,140,ft,mi,5_Copper,,,
6_6/1_ACSR,6,6/1,ACSR,0.198,0.00394,3.98,100,ft,mi,6_ACSR,,,
6_AWG SLD_Copper,6,AWG SLD,Copper,0.162,0.00526,2.39,120,ft,mi,6_Copper,,,
6_CLASS A_AA,6,CLASS A,AA,0.184,0.00555,3.903,65,ft,mi,6_AA,,,
7_AWG SLD_Copper,7,AWG SLD,Copper,0.1443,0.00468,3.01,110,ft,mi,7_Copper,,,
8_AWG SLD_Copper,8,AWG SLD,Copper,0.1285,0.00416,3.8,90,ft,mi,8_Copper,,,
9_AWG SLD_Copper,9,AWG SLD,Copper,0.1144,0.00371,4.6758,80,ft,mi,9_Copper,,,
10_AWG SLD_Copper,10,AWG SLD,Copper,0.1019,0.0033,5.9026,75,ft,mi,10_Copper,,,
12_AWG SLD_Copper,12,AWG SLD,Copper,0.0808,0.00262,9.3747,40,ft,mi,12_Copper,,,
14_AWG SLD_Copper,14,AWG SLD,Copper,0.0641,0.00208,14.8722,20,ft,mi,14_Copper,,,
16_AWG SLD_Copper,16,AWG SLD,Copper,0.0508,0.00164,23.7262,10,ft,mi,16_Copper,,,
18_AWG SLD_Copper,18,AWG SLD,Copper,0.0403,0.0013,37.6726,5,ft,mi,18_Copper,,,
19_AWG SLD_Copper,19,AWG SLD,Copper,0.0359,0.00116,47.5103,4,ft,mi,19_Copper,,,
20_AWG SLD_Copper,20,AWG SLD,Copper,0.032,0.00103,59.684,3,ft,mi,20_Copper,,,
22_AWG SLD_Copper,22,AWG SLD,Copper,0.0253,0.00082,95.4835,2,ft,mi,22_Copper,,,
24_AWG SLD_Copper,24,AWG SLD,Copper,0.0201,0.00065,151.616,1,ft,mi,24_Copper,,,
1/0__ACSR,1/0,,ACSR,0.398,0.00446,1.12,230,ft,mi,1/0_ACSR,,,
